Profile,PWV(mm),Cos,Airmass,Rad4
1,6.5,-0.675,1.48148148148148,1.005493337
1,6.5,-0.65,1.53846153846154,1.036798465
1,6.5,-0.625,1.6,1.070231083
1,6.5,-0.6,1.66666666666667,1.10602309
1,6.5,-0.575,1.73913043478261,1.144441543
1,6.5,-0.55,1.81818181818182,1.185796456
1,6.5,-0.525,1.9047619047619,1.230450114
1,6.5,-0.5,2,1.278827665
1,6.6,-1,1,0.7392643602
1,6.6,-0.975,1.02564102564103,0.7551965537
1,6.6,-0.95,1.05263157894737,0.7718632696
1,6.6,-0.925,1.08108108108108,0.7893175934
1,6.6,-0.9,1.11111111111111,0.8076180238
1,6.6,-0.875,1.14285714285714,0.8268291131
1,6.6,-0.85,1.17647058823529,0.8470222238
1,6.6,-0.825,1.21212121212121,0.8682765183
1,6.6,-0.8,1.25,0.8906800649
1,6.6,-0.775,1.29032258064516,0.9143311763
1,6.6,-0.75,1.33333333333333,0.9393397486
1,6.6,-0.725,1.37931034482759,0.965829473
1,6.6,-0.7,1.42857142857143,0.9939396987
1,6.6,-0.675,1.48148148148148,1.023828168
1,6.6,-0.65,1.53846153846154,1.055674395
1,6.6,-0.625,1.6,1.089683035
1,6.6,-0.6,1.66666666666667,1.126089366
1,6.6,-0.575,1.73913043478261,1.165164635
1,6.6,-0.55,1.81818181818182,1.207223628
1,6.6,-0.525,1.9047619047619,1.252633752
